"","Themes","Tables.Within.Themes","Column.Names","Description.of.Field","Table.Name","total_col"
"397","Theme 6 Housing","Table 3","T6_3_OMLP","Owned with mortgage or loan (No. of persons)","Permanent private households by type of occupancy ",FALSE
"398","Theme 6 Housing","Table 3","T6_3_OOP","Owned outright (No. of persons)","Permanent private households by type of occupancy ",FALSE
"399","Theme 6 Housing","Table 3","T6_3_RPLP","Rented from private landlord (No. of persons) ","Permanent private households by type of occupancy ",FALSE
"400","Theme 6 Housing","Table 3","T6_3_RLAP","Rented from Local Authority (No. of persons)","Permanent private households by type of occupancy ",FALSE
"401","Theme 6 Housing","Table 3","T6_3_RVCHBP","Rented from voluntary/co-operative housing body (No. of persons)","Permanent private households by type of occupancy ",FALSE
"402","Theme 6 Housing","Table 3","T6_3_OFRP","Occupied free of rent (No. of persons)","Permanent private households by type of occupancy ",FALSE
"403","Theme 6 Housing","Table 3","T6_3_NSP","Not stated (No. of persons)","Permanent private households by type of occupancy ",FALSE
"404","Theme 6 Housing","Table 3","T6_3_TP","Total (No. of persons)","Permanent private households by type of occupancy ",TRUE
"405","Theme 6 Housing","Table 4","T6_4_1RH","1 room (No. of households)","Permanent private households by number of rooms ",FALSE
"406","Theme 6 Housing","Table 4","T6_4_2RH","2 rooms (No. of households)","Permanent private households by number of rooms ",FALSE
"407","Theme 6 Housing","Table 4","T6_4_3RH","3 rooms (No. of households)","Permanent private households by number of rooms ",FALSE
"408","Theme 6 Housing","Table 4","T6_4_4RH","4 rooms (No. of households)","Permanent private households by number of rooms ",FALSE
"409","Theme 6 Housing","Table 4","T6_4_5RH","5 rooms (No. of households)","Permanent private households by number of rooms ",FALSE
"410","Theme 6 Housing","Table 4","T6_4_6RH","6 rooms (No. of households)","Permanent private households by number of rooms ",FALSE
"411","Theme 6 Housing","Table 4","T6_4_7RH","7 rooms (No. of households)","Permanent private households by number of rooms ",FALSE
"412","Theme 6 Housing","Table 4","T6_4_GE8RH","8 or more rooms (No. of households)","Permanent private households by number of rooms ",FALSE
"413","Theme 6 Housing","Table 4","T6_4_NSH","Not stated (No. of households)","Permanent private households by number of rooms ",FALSE
"414","Theme 6 Housing","Table 4","T6_4_TH","Total (No. of households)","Permanent private households by number of rooms ",TRUE
"415","Theme 6 Housing","Table 4","T6_4_1RP","1 room (No. of persons)","Permanent private households by number of rooms ",FALSE
"416","Theme 6 Housing","Table 4","T6_4_2RP","2 rooms (No. of persons)","Permanent private households by number of rooms ",FALSE
"417","Theme 6 Housing","Table 4","T6_4_3RP","3 rooms (No. of persons)","Permanent private households by number of rooms ",FALSE
"418","Theme 6 Housing","Table 4","T6_4_4RP","4 rooms (No. of persons)","Permanent private households by number of rooms ",FALSE
"419","Theme 6 Housing","Table 4","T6_4_5RP","5 rooms (No. of persons)","Permanent private households by number of rooms ",FALSE
"420","Theme 6 Housing","Table 4","T6_4_6RP","6 rooms (No. of persons)","Permanent private households by number of rooms ",FALSE
"421","Theme 6 Housing","Table 4","T6_4_7RP","7 rooms (No. of persons)","Permanent private households by number of rooms ",FALSE
"422","Theme 6 Housing","Table 4","T6_4_GE8RP","8 or more rooms (No. of persons)","Permanent private households by number of rooms ",FALSE
"423","Theme 6 Housing","Table 4","T6_4_NSP","Not stated (No. of persons)","Permanent private households by number of rooms ",FALSE
"424","Theme 6 Housing","Table 4","T6_4_TP","Total (No. of persons)","Permanent private households by number of rooms ",TRUE
"425","Theme 6 Housing","Table 5","T6_5_NCH","No central heating","Permanent private households by central heating ",FALSE
"426","Theme 6 Housing","Table 5","T6_5_OCH","Oil","Permanent private households by central heating ",FALSE
"427","Theme 6 Housing","Table 5","T6_5_NGCH","Natural gas","Permanent private households by central heating ",FALSE
"428","Theme 6 Housing","Table 5","T6_5_ECH","Electricity","Permanent private households by central heating ",FALSE
"429","Theme 6 Housing","Table 5","T6_5_CCH","Coal (incl. anthracite)","Permanent private households by central heating ",FALSE
"430","Theme 6 Housing","Table 5","T6_5_PCH","Peat (incl. turf)","Permanent private households by central heating ",FALSE
"431","Theme 6 Housing","Table 5","T6_5_LPGCH","Liquid petroleum gas (LPG)","Permanent private households by central heating ",FALSE
"432","Theme 6 Housing","Table 5","T6_5_WCH","Wood (incl. wood pellets)","Permanent private households by central heating ",FALSE
"433","Theme 6 Housing","Table 5","T6_5_OTH","Other","Permanent private households by central heating ",FALSE
"434","Theme 6 Housing","Table 5","T6_5_NS","Not stated","Permanent private households by central heating ",FALSE
"435","Theme 6 Housing","Table 5","T6_5_T","Total","Permanent private households by central heating ",TRUE
"436","Theme 6 Housing","Table 6","T6_6_PM","Public main","Permanent private households by water supply ",FALSE
"437","Theme 6 Housing","Table 6","T6_6_GSLA","Group scheme with public source","Permanent private households by water supply ",FALSE
"438","Theme 6 Housing","Table 6","T6_6_GSP","Group scheme with private source","Permanent private households by water supply ",FALSE
"439","Theme 6 Housing","Table 6","T6_6_OP","Other private source","Permanent private households by water supply ",FALSE
"440","Theme 6 Housing","Table 6","T6_6_N","None","Permanent private households by water supply ",FALSE
"441","Theme 6 Housing","Table 6","T6_6_NS","Not stated","Permanent private households by water supply ",FALSE
"442","Theme 6 Housing","Table 6","T6_6_T","Total","Permanent private households by water supply ",TRUE
"443","Theme 6 Housing","Table 7","T6_7_PS","Public scheme","Permanent private households by sewerage facility ",FALSE
"444","Theme 6 Housing","Table 7","T6_7_IST","Individual septic tank","Permanent private households by sewerage facility ",FALSE
"445","Theme 6 Housing","Table 7","T6_7_OIT","Other individual treatment","Permanent private households by sewerage facility ",FALSE
"446","Theme 6 Housing","Table 7","T6_7_OTH","Other","Permanent private households by sewerage facility ",FALSE
"447","Theme 6 Housing","Table 7","T6_7_NSF","No sewerage facility","Permanent private households by sewerage facility ",FALSE
"448","Theme 6 Housing","Table 7","T6_7_NS","Not stated","Permanent private households by sewerage facility ",FALSE
"449","Theme 6 Housing","Table 7","T6_7_T","Total","Permanent private households by sewerage facility ",TRUE
"450","Theme 6 Housing","Table 8","T6_8_O","Occupied","Occupancy status of permanent dwellings on Census night",FALSE
"451","Theme 6 Housing","Table 8","T6_8_TA","Temporarily absent","Occupancy status of permanent dwellings on Census night",FALSE
"452","Theme 6 Housing","Table 8","T6_8_UHH","Unoccupied holiday homes","Occupancy status of permanent dwellings on Census night",FALSE
"453","Theme 6 Housing","Table 8","T6_8_OVD","Other vacant dwellings","Occupancy status of permanent dwellings on Census night",FALSE
"454","Theme 6 Housing","Table 8","T6_8_T","Total","Occupancy status of permanent dwellings on Census night",TRUE
"455","Theme 7 Communal Establishments","Table 1","T7_1_NE","Number of establishments","Persons in Communal Establishments",FALSE
"456","Theme 7 Communal Establishments","Table 1","T7_1_NP","Number of persons","Persons in Communal Establishments",FALSE
"457","Theme 8 Principal Status","Table 1","T8_1_WM","At work - Males","Population aged 15 years and over by principal economic status and sex ",FALSE
"458","Theme 8 Principal Status","Table 1","T8_1_LFFJM","Looking for first regular job - Males","Population aged 15 years and over by principal economic status and sex ",FALSE
"459","Theme 8 Principal Status","Table 1","T8_1_ULGUPJM","Unemployed having lost or given up previous job - Males","Population aged 15 years and over by principal economic status and sex ",FALSE
"460","Theme 8 Principal Status","Table 1","T8_1_SM","Student - Males","Population aged 15 years and over by principal economic status and sex ",FALSE
"461","Theme 8 Principal Status","Table 1","T8_1_LAHFM","Looking after home/family - Males","Population aged 15 years and over by principal economic status and sex ",FALSE
"462","Theme 8 Principal Status","Table 1","T8_1_RM","Retired - Males","Population aged 15 years and over by principal economic status and sex ",FALSE
"463","Theme 8 Principal Status","Table 1","T8_1_UTWSDM","Unable to work due to permanent sickness or disability - Males","Population aged 15 years and over by principal economic status and sex ",FALSE
"464","Theme 8 Principal Status","Table 1","T8_1_OTHM","Other - Males","Population aged 15 years and over by principal economic status and sex ",FALSE
"465","Theme 8 Principal Status","Table 1","T8_1_TM","Total - Males","Population aged 15 years and over by principal economic status and sex ",TRUE
"466","Theme 8 Principal Status","Table 1","T8_1_WF","At work - Females","Population aged 15 years and over by principal economic status and sex ",FALSE
"467","Theme 8 Principal Status","Table 1","T8_1_LFFJF","Looking for first regular job - Females","Population aged 15 years and over by principal economic status and sex ",FALSE
"468","Theme 8 Principal Status","Table 1","T8_1_ULGUPJF","Unemployed having lost or given up previous job - Females","Population aged 15 years and over by principal economic status and sex ",FALSE
"469","Theme 8 Principal Status","Table 1","T8_1_SF","Student - Females","Population aged 15 years and over by principal economic status and sex ",FALSE
"470","Theme 8 Principal Status","Table 1","T8_1_LAHFF","Looking after home/family - Females","Population aged 15 years and over by principal economic status and sex ",FALSE
"471","Theme 8 Principal Status","Table 1","T8_1_RF","Retired - Females","Population aged 15 years and over by principal economic status and sex ",FALSE
"472","Theme 8 Principal Status","Table 1","T8_1_UTWSDF","Unable to work due to permanent sickness or disability - Females","Population aged 15 years and over by principal economic status and sex ",FALSE
"473","Theme 8 Principal Status","Table 1","T8_1_OTHF","Other - Females","Population aged 15 years and over by principal economic status and sex ",FALSE
"474","Theme 8 Principal Status","Table 1","T8_1_TF","Total - Females","Population aged 15 years and over by principal economic status and sex ",TRUE
"475","Theme 8 Principal Status","Table 1","T8_1_WT","At work - Total","Population aged 15 years and over by principal economic status and sex ",FALSE
"476","Theme 8 Principal Status","Table 1","T8_1_LFFJT","Looking for first regular job - Total","Population aged 15 years and over by principal economic status and sex ",FALSE
"477","Theme 8 Principal Status","Table 1","T8_1_ULGUPJT","Unemployed having lost or given up previous job - Total","Population aged 15 years and over by principal economic status and sex ",FALSE
"478","Theme 8 Principal Status","Table 1","T8_1_ST","Student - Total","Population aged 15 years and over by principal economic status and sex ",FALSE
"479","Theme 8 Principal Status","Table 1","T8_1_LAHFT","Looking after home/family - Total","Population aged 15 years and over by principal economic status and sex ",FALSE
"480","Theme 8 Principal Status","Table 1","T8_1_RT","Retired - Total","Population aged 15 years and over by principal economic status and sex ",FALSE
"481","Theme 8 Principal Status","Table 1","T8_1_UTWSDT","Unable to work due to permanent sickness or disability - Total","Population aged 15 years and over by principal economic status and sex ",FALSE
"482","Theme 8 Principal Status","Table 1","T8_1_OTHT","Other - Total","Population aged 15 years and over by principal economic status and sex ",FALSE
"483","Theme 8 Principal Status","Table 1","T8_1_TT","Total","Population aged 15 years and over by principal economic status and sex ",TRUE
"484","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_PWM","Professional workers - Males","Population by sex and social class",FALSE
"485","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_MTM","Managerial and technical - Males","Population by sex and social class",FALSE
"486","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_NMM","Non-manual - Males","Population by sex and social class",FALSE
"487","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_SM","Skilled manual - Males","Population by sex and social class",FALSE
"488","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_SSM","Semi-skilled - Males","Population by sex and social class",FALSE
"489","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_USM","Unskilled - Males","Population by sex and social class",FALSE
"490","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_OTHGEUM","All others gainfully occupied and unknown - Males","Population by sex and social class",FALSE
"491","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_TM","Total - Males","Population by sex and social class",TRUE
"492","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_PWF","Professional workers - Females","Population by sex and social class",FALSE
"493","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_MTF","Managerial and technical - Females","Population by sex and social class",FALSE
"494","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_NMF","Non-manual - Females","Population by sex and social class",FALSE
"495","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_SF","Skilled manual - Females","Population by sex and social class",FALSE
"496","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_SSF","Semi-skilled - Females","Population by sex and social class",FALSE
"497","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_USF","Unskilled - Females","Population by sex and social class",FALSE
"498","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_OTHGEUF","All others gainfully occupied and unknown - Females","Population by sex and social class",FALSE
"499","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_TF","Total - Females","Population by sex and social class",TRUE
"500","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_PWT","Professional workers - Total","Population by sex and social class",FALSE
"501","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_MTT","Managerial and technical - Total","Population by sex and social class",FALSE
"502","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_NMT","Non-manual - Total","Population by sex and social class",FALSE
"503","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_ST","Skilled manual - Total","Population by sex and social class",FALSE
"504","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_SST","Semi-skilled - Total","Population by sex and social class",FALSE
"505","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_UST","Unskilled - Total","Population by sex and social class",FALSE
"506","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_OTHGEUT","All others gainfully occupied and unknown - Total","Population by sex and social class",FALSE
"507","Theme 9 Social Class and Socio-Economic Group","Table 1","T9_1_TT","Total","Population by sex and social class",TRUE
"508","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_HA","A Employers and managers (No. of households)","Persons in private households by socio-economic group of reference person",FALSE
"509","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_HB","B Higher professional (No. of households)","Persons in private households by socio-economic group of reference person",FALSE
"510","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_HC","C Lower professional (No. of households)","Persons in private households by socio-economic group of reference person",FALSE
"511","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_HD","D Non-manual (No. of households)","Persons in private households by socio-economic group of reference person",FALSE
"512","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_HE","E Manual skilled (No. of households)","Persons in private households by socio-economic group of reference person",FALSE
"513","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_HF","F Semi-skilled (No. of households)","Persons in private households by socio-economic group of reference person",FALSE
"514","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_HG","G Unskilled (No. of households)","Persons in private households by socio-economic group of reference person",FALSE
"515","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_HH","H Own account workers (No. of households)","Persons in private households by socio-economic group of reference person",FALSE
"516","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_HI","I Farmers (No. of households)","Persons in private households by socio-economic group of reference person",FALSE
"517","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_HJ","J Agricultural workers (No. of households)","Persons in private households by socio-economic group of reference person",FALSE
"518","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_HZ","Z All others gainfully occupied and unknown (No. of households)","Persons in private households by socio-economic group of reference person",FALSE
"519","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_HT","Total (No. of households)","Persons in private households by socio-economic group of reference person",TRUE
"520","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_PA","A Employers and managers (No. of persons)","Persons in private households by socio-economic group of reference person",FALSE
"521","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_PB","B Higher professional (No. of persons)","Persons in private households by socio-economic group of reference person",FALSE
"522","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_PC","C Lower professional (No. of persons)","Persons in private households by socio-economic group of reference person",FALSE
"523","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_PD","D Non-manual (No. of persons)","Persons in private households by socio-economic group of reference person",FALSE
"524","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_PE","E Manual skilled (No. of persons)","Persons in private households by socio-economic group of reference person",FALSE
"525","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_PF","F Semi-skilled (No. of persons)","Persons in private households by socio-economic group of reference person",FALSE
"526","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_PG","G Unskilled (No. of persons)","Persons in private households by socio-economic group of reference person",FALSE
"527","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_PH","H Own account workers (No. of persons)","Persons in private households by socio-economic group of reference person",FALSE
"528","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_PI","I Farmers (No. of persons)","Persons in private households by socio-economic group of reference person",FALSE
"529","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_PJ","J Agricultural workers (No. of persons)","Persons in private households by socio-economic group of reference person",FALSE
"530","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_PZ","Z All others gainfully occupied and unknown (No. of persons)","Persons in private households by socio-economic group of reference person",FALSE
"531","Theme 9 Social Class and Socio-Economic Group","Table 2","T9_2_PT","Total (No. of persons)","Persons in private households by socio-economic group of reference person",TRUE
"532","Theme 10 Education","Table 1","T10_1_LT15M","Age under 15 - Males","Population aged 15 years and over by age education ceased ",FALSE
"533","Theme 10 Education","Table 1","T10_1_15M","Age 15 - Males","Population aged 15 years and over by age education ceased ",FALSE
"534","Theme 10 Education","Table 1","T10_1_16M","Age 16 - Males","Population aged 15 years and over by age education ceased ",FALSE
"535","Theme 10 Education","Table 1","T10_1_17M","Age 17 - Males","Population aged 15 years and over by age education ceased ",FALSE
"536","Theme 10 Education","Table 1","T10_1_18M","Age 18 - Males","Population aged 15 years and over by age education ceased ",FALSE
"537","Theme 10 Education","Table 1","T10_1_19M","Age 19 - Males","Population aged 15 years and over by age education ceased ",FALSE
"538","Theme 10 Education","Table 1","T10_1_20M","Age 20 - Males","Population aged 15 years and over by age education ceased ",FALSE
"539","Theme 10 Education","Table 1","T10_1_GE21M","Age 21 and over - Males","Population aged 15 years and over by age education ceased ",FALSE
"540","Theme 10 Education","Table 1","T10_1_NSM","Not stated - Males","Population aged 15 years and over by age education ceased ",FALSE
"541","Theme 10 Education","Table 1","T10_1_TM","Total - Males","Population aged 15 years and over by age education ceased ",TRUE
"542","Theme 10 Education","Table 1","T10_1_LT15F","Age under 15 - Females","Population aged 15 years and over by age education ceased ",FALSE
"543","Theme 10 Education","Table 1","T10_1_15F","Age 15 - Females","Population aged 15 years and over by age education ceased ",FALSE
"544","Theme 10 Education","Table 1","T10_1_16F","Age 16 - Females","Population aged 15 years and over by age education ceased ",FALSE
"545","Theme 10 Education","Table 1","T10_1_17F","Age 17 - Females","Population aged 15 years and over by age education ceased ",FALSE
"546","Theme 10 Education","Table 1","T10_1_18F","Age 18 - Females","Population aged 15 years and over by age education ceased ",FALSE
"547","Theme 10 Education","Table 1","T10_1_19F","Age 19 - Females","Population aged 15 years and over by age education ceased ",FALSE
"548","Theme 10 Education","Table 1","T10_1_20F","Age 20 - Females","Population aged 15 years and over by age education ceased ",FALSE
"549","Theme 10 Education","Table 1","T10_1_GE21F","Age 21 and over - Females","Population aged 15 years and over by age education ceased ",FALSE
"550","Theme 10 Education","Table 1","T10_1_NSF","Not stated - Females","Population aged 15 years and over by age education ceased ",FALSE
"551","Theme 10 Education","Table 1","T10_1_TF","Total - Females","Population aged 15 years and over by age education ceased ",TRUE
"552","Theme 10 Education","Table 1","T10_1_LT15T","Age under 15 - Total","Population aged 15 years and over by age education ceased ",FALSE
"553","Theme 10 Education","Table 1","T10_1_15T","Age 15 - Total","Population aged 15 years and over by age education ceased ",FALSE
"554","Theme 10 Education","Table 1","T10_1_16T","Age 16 - Total","Population aged 15 years and over by age education ceased ",FALSE
"555","Theme 10 Education","Table 1","T10_1_17T","Age 17 - Total","Population aged 15 years and over by age education ceased ",FALSE
"556","Theme 10 Education","Table 1","T10_1_18T","Age 18 - Total","Population aged 15 years and over by age education ceased ",FALSE
"557","Theme 10 Education","Table 1","T10_1_19T","Age 19 - Total","Population aged 15 years and over by age education ceased ",FALSE
"558","Theme 10 Education","Table 1","T10_1_20T","Age 20 - Total","Population aged 15 years and over by age education ceased ",FALSE
"559","Theme 10 Education","Table 1","T10_1_GE21T","Age 21 and over - Total","Population aged 15 years and over by age education ceased ",FALSE
"560","Theme 10 Education","Table 1","T10_1_NST","Not stated - Total","Population aged 15 years and over by age education ceased ",FALSE
"561","Theme 10 Education","Table 1","T10_1_TT","Total","Population aged 15 years and over by age education ceased ",TRUE
"562","Theme 10 Education","Table 2","T10_2_SASM","Still at school or college - Males","Population aged 15 years and over whose education has not ceased",FALSE
"563","Theme 10 Education","Table 2","T10_2_OTHM","Other - Males","Population aged 15 years and over whose education has not ceased",FALSE
"564","Theme 10 Education","Table 2","T10_2_SASF","Still at school or college - Females","Population aged 15 years and over whose education has not ceased",FALSE
"565","Theme 10 Education","Table 2","T10_2_OTHF","Other - Females","Population aged 15 years and over whose education has not ceased",FALSE
"566","Theme 10 Education","Table 2","T10_2_SAST","Still at school or college - Total","Population aged 15 years and over whose education has not ceased",FALSE
"567","Theme 10 Education","Table 2","T10_2_OTHT","Other - Total","Population aged 15 years and over whose education has not ceased",FALSE
"568","Theme 10 Education","Table 3","T10_3_EDUM","Education and teacher training - Males","Population aged 15 years and over by field of study ",FALSE
"569","Theme 10 Education","Table 3","T10_3_ARTM","Arts - Males","Population aged 15 years and over by field of study ",FALSE
"570","Theme 10 Education","Table 3","T10_3_HUMM","Humanities - Males","Population aged 15 years and over by field of study ",FALSE
"571","Theme 10 Education","Table 3","T10_3_SOCM","Social sciences, business and law - Males","Population aged 15 years and over by field of study ",FALSE
"572","Theme 10 Education","Table 3","T10_3_SCIM","Science, mathematics and computing - Males","Population aged 15 years and over by field of study ",FALSE
"573","Theme 10 Education","Table 3","T10_3_ENGM","Engineering, manufacturing and construction - Males","Population aged 15 years and over by field of study ",FALSE
"574","Theme 10 Education","Table 3","T10_3_AGRM","Agriculture and veterinary - Males","Population aged 15 years and over by field of study ",FALSE
"575","Theme 10 Education","Table 3","T10_3_HEAM","Health and welfare - Males","Population aged 15 years and over by field of study ",FALSE
"576","Theme 10 Education","Table 3","T10_3_SERM","Services - Males","Population aged 15 years and over by field of study ",FALSE
"577","Theme 10 Education","Table 3","T10_3_OTHM","Other subjects - Males","Population aged 15 years and over by field of study ",FALSE
"578","Theme 10 Education","Table 3","T10_3_NSM","Not stated - Males","Population aged 15 years and over by field of study ",FALSE
"579","Theme 10 Education","Table 3","T10_3_TM","Total - Males","Population aged 15 years and over by field of study ",TRUE
"580","Theme 10 Education","Table 3","T10_3_EDUF","Education and teacher training - Females","Population aged 15 years and over by field of study ",FALSE
"581","Theme 10 Education","Table 3","T10_3_ARTF","Arts - Females","Population aged 15 years and over by field of study ",FALSE
"582","Theme 10 Education","Table 3","T10_3_HUMF","Humanities - Females","Population aged 15 years and over by field of study ",FALSE
"583","Theme 10 Education","Table 3","T10_3_SOCF","Social sciences, business and law - Females","Population aged 15 years and over by field of study ",FALSE
"584","Theme 10 Education","Table 3","T10_3_SCIF","Science, mathematics and computing - Females","Population aged 15 years and over by field of study ",FALSE
"585","Theme 10 Education","Table 3","T10_3_ENGF","Engineering, manufacturing and construction - Females","Population aged 15 years and over by field of study ",FALSE
"586","Theme 10 Education","Table 3","T10_3_AGRF","Agriculture and veterinary - Females","Population aged 15 years and over by field of study ",FALSE
"587","Theme 10 Education","Table 3","T10_3_HEAF","Health and welfare - Females","Population aged 15 years and over by field of study ",FALSE
"588","Theme 10 Education","Table 3","T10_3_SERF","Services - Females","Population aged 15 years and over by field of study ",FALSE
"589","Theme 10 Education","Table 3","T10_3_OTHF","Other subjects - Females","Population aged 15 years and over by field of study ",FALSE
"590","Theme 10 Education","Table 3","T10_3_NSF","Not stated - Females","Population aged 15 years and over by field of study ",FALSE
"591","Theme 10 Education","Table 3","T10_3_TF","Total - Females","Population aged 15 years and over by field of study ",TRUE
"592","Theme 10 Education","Table 3","T10_3_EDUT","Education and teacher training - Total","Population aged 15 years and over by field of study ",FALSE
"593","Theme 10 Education","Table 3","T10_3_ARTT","Arts - Total","Population aged 15 years and over by field of study ",FALSE
"594","Theme 10 Education","Table 3","T10_3_HUMT","Humanities - Total","Population aged 15 years and over by field of study ",FALSE
"595","Theme 10 Education","Table 3","T10_3_SOCT","Social sciences, business and law - Total","Population aged 15 years and over by field of study ",FALSE
"596","Theme 10 Education","Table 3","T10_3_SCIT","Science, mathematics and computing - Total","Population aged 15 years and over by field of study ",FALSE
"597","Theme 10 Education","Table 3","T10_3_ENGT","Engineering, manufacturing and construction - Total","Population aged 15 years and over by field of study ",FALSE
"598","Theme 10 Education","Table 3","T10_3_AGRT","Agriculture and veterinary - Total","Population aged 15 years and over by field of study ",FALSE
"599","Theme 10 Education","Table 3","T10_3_HEAT","Health and welfare - Total","Population aged 15 years and over by field of study ",FALSE
"600","Theme 10 Education","Table 3","T10_3_SERT","Services - Total","Population aged 15 years and over by field of study ",FALSE
"601","Theme 10 Education","Table 3","T10_3_OTHT","Other subjects - Total","Population aged 15 years and over by field of study ",FALSE
"602","Theme 10 Education","Table 3","T10_3_NST","Not stated - Total","Population aged 15 years and over by field of study ",FALSE
"603","Theme 10 Education","Table 3","T10_3_TT","Total","Population aged 15 years and over by field of study ",TRUE
"604","Theme 10 Education","Table 4","T10_4_NFM","No formal education - Males","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"605","Theme 10 Education","Table 4","T10_4_PM","Primary education - Males","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"606","Theme 10 Education","Table 4","T10_4_LSM","Lower secondary - Males","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"607","Theme 10 Education","Table 4","T10_4_USM","Upper secondary - Males","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"608","Theme 10 Education","Table 4","T10_4_TVM","Technical or vocational qualification - Males","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"609","Theme 10 Education","Table 4","T10_4_ACCAM","Advanced certificate/Completed apprenticeship - Males","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"610","Theme 10 Education","Table 4","T10_4_HCM","Higher certificate - Males","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"611","Theme 10 Education","Table 4","T10_4_ODNDM","Ordinary bachelor degree or national diploma - Males","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"612","Theme 10 Education","Table 4","T10_4_HDPQM","Honours bachelor degree, professional qualification or both - Males","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"613","Theme 10 Education","Table 4","T10_4_PDM","Postgraduate diploma or degree - Males","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"614","Theme 10 Education","Table 4","T10_4_DM","Doctorate(Ph.D) or higher - Males","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"615","Theme 10 Education","Table 4","T10_4_NSM","Not stated - Males","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"616","Theme 10 Education","Table 4","T10_4_TM","Total - Males","Population aged 15 years and over by sex and highest level of education completed ",TRUE
"617","Theme 10 Education","Table 4","T10_4_NFF","No formal education - Females","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"618","Theme 10 Education","Table 4","T10_4_PF","Primary education - Females","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"619","Theme 10 Education","Table 4","T10_4_LSF","Lower secondary - Females","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"620","Theme 10 Education","Table 4","T10_4_USF","Upper secondary - Females","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"621","Theme 10 Education","Table 4","T10_4_TVF","Technical or vocational qualification - Females","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"622","Theme 10 Education","Table 4","T10_4_ACCAF","Advanced certificate/Completed apprenticeship - Females","Population aged 15 years and over by sex and highest level of education completed ",FALSE
"623","Theme 10 Education","Table 4","T10_4_HCF","Higher certificate - Females","Population aged 15 years and over by sex and highest level of education completed ",FALSE
